編號,國文,英文,數學,自然,社會
1,95,100,96,94,76
2,86,80,80,64,57
3,50,57,84,85,68
4,95,69,81,92,75
5,92,78,55,83,92
6,65,85,76,56,53
7,76,77,64,73,94
8,59,90,96,71,79
9,76,61,88,78,83
10,72,69,67,70,90
11,65,63,67,74,98
12,98,67,84,99,55
13,50,74,59,76,70
14,61,77,95,75,71
15,54,100,86,53,71
16,76,75,53,76,56
17,97,70,59,66,61
18,82,67,64,75,67
19,96,62,96,100,75
20,93,55,86,97,97
21,86,89,59,100,96
22,77,53,97,92,79
23,69,96,60,95,79
24,68,71,94,91,58
25,93,100,97,100,68
26,68,94,91,62,94
27,59,67,67,95,51
28,56,69,53,76,84
29,78,68,99,79,71
30,67,56,53,87,76
31,71,64,83,89,54
32,78,65,76,72,92
33,74,82,92,84,50
34,81,56,78,86,94
35,54,77,51,80,88
36,98,83,87,78,71
37,99,76,55,94,63
38,72,69,98,66,81
39,63,75,83,99,72
40,74,88,55,70,66
41,61,72,58,76,90
42,61,94,93,95,96
43,74,63,62,77,89
44,75,79,90,93,92
45,52,81,91,60,52
46,61,81,95,92,91
47,100,94,98,87,54
48,55,84,52,91,56
49,73,92,95,74,74
50,55,64,74,56,72
